Minerals,SiO2,Al2O3,Fe2O3,Na2O,CaO,MgO,FeO,K2O,P2O5,MnO,Mn2O3,TiO2,H2O,CO2,F,Cl,Li2O,BeO,B2O3,SnO2,C2O3,WO3,CuO,Cu2O,PbO,ZnO,BaO,SrO,VO2,V2O3,V2O5,CrO,Cr2O3,NiO,CoO,SO2,As2O3,As2O5,SO3,S2O5,Sb2O3,La2O3,Ce2O3,Pr2O3,Nd2O3,Sm2O3,Eu2O3,Gd2O3,Tb2O3,Dy2O3,Ho2O3,Er2O3,Tm2O3,Yb2O3,Lu2O3,REE2O3,Sc2O3,Y2O3,HfO2,ZrO2,ThO2,UO2,UO3,U2O3,Ga2O3,Ta2O5,Nb2O5
Steenstrupine-(Ce),22.94,0,0,13.81,0,0,4.57,0,15.81,2.26,2.51,0,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94,2.1,0,0,0,0,0,0
Tritomite-(Ce),19.07,0,0,0,14.24,0,0,0,0,0,0,0,3.43,0,4.82,0,0,0,2.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.68,31.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.02,0,0,5.03,0,0,0,0,0,0
Peprossiite-(Ce),0,25.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99,30.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biraite-(Ce),21.48,0,0,0.11,0.71,1.83,7.82,0,0,1.42,0,0.14,0,7.91,0.59,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.85,30.08,2.69,7.63,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dollaseite-(Ce),32.71,9.25,0,0,10.18,14.63,0,0,0,0,0,0,2.45,0,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fluorbritholite-(Ce),20.92,0,0,0,14.21,0,0,0,2.86,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,16.09,29.64,3.64,6.78,0.68,0,0,0,0,0,0,0,0,0,0,0,1.32,0,0,1.72,0,0,0,0,0,0
Galgenbergite-(Ce),0,0,0,0,9.61,0,0,0,0,0,0,0,3.12,30.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.84,29.54,3.42,11.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hellandite-(Ce),21.57,4.58,0,0,15.1,0,0,0,0,0,0,0,1.21,0,0.85,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.46,0,0,0,0,0,0,0,0,0,0,0,0,15.08,0,0,0,0,0,0,0,0,0,0,0
Hingganite-(Ce),26.35,0,0,0,7.3,0,3.74,0,0,0,0,0,2.97,0,0,0,0,10.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.32,29.22,2.15,4.75,0.38,0,0.08,0,0.04,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0
Dingdaohengite-(Ce),19.42,0.04,1.68,0,2.17,1.33,8.53,0,0,0,0,18.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.61,28.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0.43
